Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
RTX Corp (RTX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,,Q3 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,,09/30/2004,
Revenue,,6671,1.0,7332,1.0,6920,1.0,6974,1.0,6374,1.0,7324,1.0,7299,1.0,7215,1.0,6702,1.0,7790,1.0,7954,1.0,8588,1.0,8646,1.0,9622,1.0,9339,1.0
  Carrier,,2085,0.30820399113082,2613,0.351020956475013,2230,0.321557317952415,1967,0.278611898016997,1896,0.292547446381731,2541,0.339933110367893,2340,0.313378867014865,2410,0.309331279681684,1957,0.286739926739927,2640,0.332661290322581,2453,0.308398290168469,2196,0.34457869135415,2234,0.263941398865784,3022,0.314071918520058,2678,0.286754470500054
  Otis,,1548,0.228824833702882,1537,0.206475013433638,1554,0.224080749819755,1699,0.240651558073654,1536,0.237000462891529,1680,0.224749163879599,1745,0.233694924333735,1850,0.23745347195482,1820,0.266666666666667,1956,0.246471774193548,1941,0.244028161931104,2210,0.346775458967519,2115,0.249881852551985,2208,0.229474121804199,2245,0.240389763357961
  Pratt & Whitney,,1878,0.277605321507761,1957,0.262896292315959,1894,0.273107426099495,1950,0.276203966005666,1840,0.283906804505478,1875,0.250836120401338,1882,0.252042319539306,2048,0.26286741111539,1731,0.253626373626374,1948,0.245463709677419,1859,0.233718883580588,1967,0.30864584967833,1944,0.229678638941399,2084,0.216586988152151,2106,0.22550594282043
  Flight Systems,,1254,0.185365853658537,1337,0.17960773777539,1257,0.181254506128335,1444,0.204532577903683,1209,0.186545286221262,1379,0.184481605351171,1500,0.200883889112093,1483,0.190347837248107,1317,0.192967032967033,1392,0.175403225806452,1424,0.179029419160171,—,,1468,0.1734404536862,1547,0.160777385159011,1647,0.176357211692901
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,703,0.0830576559546314,761,0.0790895863645812,663,0.070992611628654
  Other - Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,277,0.0348252451596681,—,,—,,—,,—,
  Reconciliation,,-94,,-112,,-15,,-86,,-107,,-151,,-168,,-576,,-123,,-146,,—,,2215,,182,,—,,—,
Revenue Including Intersegment Revenue,,6765,1.0,7444,1.0,6935,1.0,7060,1.0,6481,1.0,7475,1.0,7467,1.0,7791,1.0,6825,1.0,7936,1.0,7954,1.0,6373,1.0,8464,1.0,9569,1.0,9339,1.0
  Carrier,,2085,0.30820399113082,2613,0.351020956475013,2230,0.321557317952415,1967,0.278611898016997,1896,0.292547446381731,2541,0.339933110367893,2340,0.313378867014865,2410,0.309331279681684,1957,0.286739926739927,2640,0.332661290322581,2453,0.308398290168469,2196,0.34457869135415,2234,0.263941398865784,3022,0.315811474553245,2678,0.286754470500054
  Otis,,1548,0.228824833702882,1537,0.206475013433638,1554,0.224080749819755,1699,0.240651558073654,1536,0.237000462891529,1680,0.224749163879599,1745,0.233694924333735,1850,0.23745347195482,1820,0.266666666666667,1956,0.246471774193548,1941,0.244028161931104,2210,0.346775458967519,2115,0.249881852551985,2208,0.23074511443202,2245,0.240389763357961
  Pratt & Whitney,,1878,0.277605321507761,1957,0.262896292315959,1894,0.273107426099495,1950,0.276203966005666,1840,0.283906804505478,1875,0.250836120401338,1882,0.252042319539306,2048,0.26286741111539,1731,0.253626373626374,1948,0.245463709677419,1859,0.233718883580588,1967,0.30864584967833,1944,0.229678638941399,2084,0.217786602570802,2106,0.22550594282043
  Flight Systems,,1254,0.185365853658537,1337,0.17960773777539,1257,0.181254506128335,1444,0.204532577903683,1209,0.186545286221262,1379,0.184481605351171,1500,0.200883889112093,1483,0.190347837248107,1317,0.192967032967033,1392,0.175403225806452,1424,0.179029419160171,—,,1468,0.1734404536862,1547,0.161667885881492,1647,0.176357211692901
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,703,0.0830576559546314,708,0.0739889225624412,663,0.070992611628654
  Other - Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,277,0.0348252451596681,—,,—,,—,,—,
Operating Income,,777,1.0,989,1.0,822,1.0,645,1.0,797,1.0,1031,1.0,1002,1.0,827,1.0,837,1.0,1033,1.0,1048,1.0,927,1.0,963,1.0,1250,1.0,—,
  Carrier,,131,0.12632594021215,317,0.295708955223881,105,0.134615384615385,37,0.0113115255273617,61,0.0791180285343709,335,0.297777777777778,276,0.252516010978957,672,0.468292682926829,151,0.162715517241379,363,0.318141980718668,304,0.268077601410935,93,0.120936280884265,75,0.0897129186602871,364,0.287066246056782,—,
  Otis,,220,0.212150433944069,223,0.208022388059701,164,0.21025641025641,240,0.0733720574747784,234,0.303501945525292,263,0.233777777777778,285,0.260750228728271,275,0.191637630662021,314,0.338362068965517,336,0.294478527607362,350,0.308641975308642,377,0.490247074122237,322,0.385167464114833,363,0.286277602523659,—,
  Pratt & Whitney,,343,0.33076181292189,353,0.329291044776119,337,0.432051282051282,275,0.0840721491898502,318,0.412451361867704,335,0.297777777777778,333,0.304666056724611,296,0.206271777003484,276,0.297413793103448,269,0.235758106923751,281,0.247795414462081,299,0.388816644993498,221,0.264354066985646,307,0.24211356466877,—,
  Flight Systems,,343,0.33076181292189,179,0.166977611940299,174,0.223076923076923,2719,0.83124426780801,158,0.204928664072633,192,0.170666666666667,199,0.182067703568161,192,0.133797909407666,187,0.201508620689655,173,0.151621384750219,199,0.175485008818342,—,,186,0.222488038277512,199,0.156940063091483,—,
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,32,0.0382775119617225,35,0.027602523659306,—,
  Other - Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,—,
  Adjustments,,-260,,-83,,42,,—,,26,,-94,,-91,,—,,-91,,-108,,-86,,—,,127,,-18,,—,
  Reconciliation,,—,,—,,—,,-2626,,—,,—,,—,,-608,,—,,—,,—,,158,,—,,—,,—,
Operating Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Otis,,14.2,,14.5,,10.6,,13.4,,15.2,,15.7,,16.3,,15.5,,17.3,,17.2,,18,,17.4,,15.2,,16.4,,18.2,
  Pratt & Whitney,,18.3,,18,,17.8,,17,,17.3,,17.9,,17.7,,16.8,,15.9,,13.8,,15.1,,15,,11.4,,14.7,,15.1,
  Flight Systems,,13.4,,13.4,,13.8,,12.7,,13.1,,13.9,,13.3,,13.3,,14.2,,12.4,,14,,—,,12.7,,12.9,,13.6,
  Carrier,,6.3,,12.1,,4.7,,6.6,,3.2,,13.2,,11.8,,8.9,,7.7,,13.8,,12.4,,9.9,,3.4,,12,,11.7,
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4.8,,4.6,,4.9,,5,
Goodwill,,—,,—,,—,,6802,1.0,6814,1.0,6937,1.0,6941,1.0,6981,1.0,—,,—,,6989,1.0,5528,1.0,9515,1.0,9644,1.0,9666,1.0
  Flight Systems,,—,,—,,—,,3781,0.541302791696493,3646,0.535074845905489,3726,0.537119792417472,3734,0.537962829563464,3781,0.541302791696493,—,,—,,3781,0.540992988982687,—,,3819,0.401366263794009,3816,0.395686437163003,3821,0.395303124353404
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2096,0.379160636758321,2249,0.236363636363636,2344,0.24305267523849,2301,0.238050900062073
  Carrier,,—,,—,,—,,2000,0.286327845382964,2002,0.293806868212504,2021,0.291336312527029,2018,0.290736205157758,2000,0.286327845382964,—,,—,,2000,0.286163971955931,2059,0.372467438494935,2060,0.216500262743037,2085,0.216196598921609,2130,0.220360024829299
  Otis,,—,,—,,—,,753,0.107802433786686,724,0.106251834458468,757,0.109124981980683,753,0.108485808961245,753,0.107802433786686,—,,—,,753,0.107740735441408,911,0.164797395079595,925,0.0972149238045192,929,0.0963293239319784,939,0.0971446306641837
  Pratt & Whitney,,—,,—,,—,,451,0.0645669291338583,442,0.0648664514235398,433,0.0624189130748162,436,0.0628151563175335,451,0.0645669291338583,—,,—,,451,0.0645299756760624,462,0.0835745296671491,462,0.0485549132947977,470,0.0487349647449191,475,0.0491413200910408
  Other - Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4,0.0005723279439118619,—,,—,,—,,—,
  Reconciliation,,—,,—,,—,,-183,,—,,—,,—,,-4,,—,,—,,—,,—,,—,,—,,—,
Assets,,—,,—,,—,,27010,1.0,—,,—,,—,,29090,1.0,—,,—,,—,,35274,1.0,—,,—,,—,
  Flight Systems,,—,,—,,—,,7724,0.312055591467356,—,,—,,—,,8005,0.311939833216429,—,,—,,—,,—,,—,,—,,—,
  Carrier,,—,,—,,—,,7202,0.290966386554622,—,,—,,—,,7431,0.289572129997662,—,,—,,—,,7720,0.235265435484854,—,,—,,—,
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4396,0.133967209118059,—,,—,,—,
  Adjustments,,—,,—,,—,,2258,,—,,—,,—,,3428,,—,,—,,—,,—,,—,,—,,—,
  Sikorsky,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1573,0.0479368562199061,—,,—,,—,
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2460,,—,,—,,—,
  Otis,,—,,—,,—,,3777,0.152593729799612,—,,—,,—,,4144,0.161483906164757,—,,—,,—,,5572,0.169805570792954,—,,—,,—,
  Hamilton Sundstrand,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6905,0.210428475650637,—,,—,,—,
  Pratt & Whitney,,—,,—,,—,,6049,0.24438429217841,—,,—,,—,,6082,0.237004130621152,—,,—,,—,,6648,0.202596452733589,—,,—,,—,
Order Backlog,,—,,—,,—,,19214,1.0,—,,—,,—,,20849,1.0,—,,—,,—,,19701,1.0,—,,—,,—,
  Flight Systems,,—,,—,,—,,4276,0.222546060164463,—,,—,,—,,3642,0.174684637152861,—,,—,,—,,—,,—,,—,,—,
  Chubb,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,286,0.0145170295924065,—,,—,,—,
  Otis,,—,,—,,—,,3777,0.196575413760799,—,,—,,—,,4177,0.200345340304091,—,,—,,—,,5040,0.255824577432618,—,,—,,—,
  Pratt & Whitney,,—,,—,,—,,11161,0.580878526074737,—,,—,,—,,13030,0.624970022543048,—,,—,,—,,14375,0.729658392974976,—,,—,,—,
    Other,,—,,—,,—,,9212,0.479442073488082,—,,—,,—,,11029,0.528994196364334,—,,—,,—,,11647,0.591188264555099,—,,—,,—,
    U.S. Government Funded Contracts and Subcontracts,,—,,—,,—,,1949,0.101436452586656,—,,—,,—,,2001,0.0959758261787136,—,,—,,—,,2728,0.138470128419877,—,,—,,—,
Source: Bloomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
